,Date,Open,High,Low,Close,Volume
0,2013-04-29 23:59:59,152.94,152.94,150.39,150.39,650.188125
1,2013-04-30 23:59:59,155.81,155.81,151.39,152.94,4277.56729866
2,2013-05-01 23:59:59,157.18,157.3,155.32,155.81,106.33727909
3,2013-05-02 23:59:59,158.04,158.31,157.16,157.18,55.24413059
4,2013-05-03 23:59:59,157.1,158.1,156.87,158.04,144.262622
5,2013-05-04 23:59:59,157.78,157.84,157.1,157.1,329.35620144
6,2013-05-05 23:59:59,157.48,158.2,157.48,157.78,520.13746267
7,2013-05-06 23:59:59,157.12,157.78,156.9,157.48,156.55222076
8,2013-05-07 23:59:59,155.81,157.52,155.74,157.12,430.083035
9,2013-05-08 23:59:59,157.12,157.15,155.81,155.81,303.83954102
10,2013-05-09 23:59:59,156.57,158.09,156.57,157.12,747.87021965
11,2013-05-10 23:59:59,156.46,157.67,155.5,156.57,320.06017197
12,2013-05-11 23:59:59,157.45,157.76,155.58,156.46,1922.313877
13,2013-05-12 23:59:59,157.69,158.26,157.09,157.45,993.97028762
14,2013-05-13 23:59:59,159.05,159.76,157.25,157.69,866.47222245
15,2013-05-14 23:59:59,158.77,159.41,157.88,159.05,108.160041
16,2013-05-15 23:59:59,159.84,160.02,158.44,158.77,96.25541397
17,2013-05-16 23:59:59,160.21,160.21,159.56,159.84,57.71428142
18,2013-05-17 23:59:59,160.91,161.52,160.07,160.21,113.10188212
19,2013-05-18 23:59:59,159.97,160.91,159.89,160.91,72.618334
20,2013-05-19 23:59:59,160.62,161.32,159.9,159.97,172.314
21,2013-05-20 23:59:59,160.27,160.77,159.64,160.62,547.7369828
22,2013-05-21 23:59:59,158.5,160.27,158.5,160.27,329.649143
23,2013-05-22 23:59:59,157.12,158.5,156.59,158.5,3296.60365314
24,2013-05-23 23:59:59,158.61,158.61,156.21,157.12,398.580016
25,2013-05-24 23:59:59,159.92,160.03,157.98,158.61,100.506275
26,2013-05-25 23:59:59,159.12,160.71,158.88,159.92,399.77497
27,2013-05-26 23:59:59,159.36,159.53,158.89,159.12,151.604746
28,2013-05-27 23:59:59,160.7,160.7,158.81,159.36,390.36782914
